477,0.21,-0.12,0.0103
478,0.21,-0.05,0.0103
479,0.17,-0.01,0.0103
480,0.17,0.06,0.0102
481,0.22,0.02,0.0103
482,0.22,-0.01,0.0103
483,0.34,-0.04,0.0101
484,0.34,-0.06,0.0104
485,0.35,-0.07,0.0103
486,0.35,-0.00,0.0103
487,-0.01,0.13,0.0101
488,-0.01,0.13,0.0103
489,0.21,0.11,0.0102
490,0.21,0.13,0.0103
491,0.10,0.15,0.0102
492,0.10,0.16,0.0103
493,0.07,0.19,0.0103
494,0.07,0.22,0.0104
495,-0.02,0.25,0.0102
496,-0.02,0.25,0.0103
497,-0.03,0.27,0.0102
498,-0.03,0.04,0.0104
499,0.50,-0.06,0.0103
500,0.50,-0.03,0.0103
501,0.03,0.05,0.0103
502,0.03,0.11,0.0103
503,-0.03,0.15,0.0102
504,-0.03,0.24,0.0104
505,-0.25,0.33,0.0103
506,-0.25,0.41,0.0104
507,-0.38,0.49,0.0103
508,-0.38,0.57,0.0103
509,-0.32,0.51,0.0103
510,-0.32,0.43,0.0103
511,-0.06,0.32,0.0102
512,-0.06,0.36,0.0103
513,-0.27,0.33,0.0103
514,-0.27,0.30,0.0103
515,-0.22,0.29,0.0103
516,-0.22,0.37,0.0104
517,-0.48,0.40,0.0102
518,-0.48,0.36,0.0103
519,-0.31,0.34,0.0102
520,-0.31,0.37,0.0103
521,-0.33,0.30,0.0103
522,-0.33,0.25,0.0103
523,-0.32,0.24,0.0103
524,-0.32,0.20,0.0104
525,-0.25,0.16,0.0103
526,-0.25,0.11,0.0104
527,-0.22,0.08,0.0103
528,-0.22,0.02,0.0103
529,-0.14,-0.02,0.0102
530,-0.14,0.01,0.0104
531,-0.37,0.07,0.0101
532,-0.37,0.11,0.0103
533,-0.45,0.16,0.0102
534,-0.45,0.17,0.0103
535,-0.41,0.18,0.0102
536,-0.41,0.18,0.0104
537,-0.38,0.16,0.0103
538,-0.38,0.10,0.0104
539,-0.27,0.07,0.0103
540,-0.27,0.00,0.0104
541,-0.12,-0.08,0.0101
542,-0.12,-0.05,0.0104
543,-0.34,-0.02,0.0103
544,-0.34,0.01,0.0104
545,-0.33,0.01,0.0103
546,-0.33,0.01,0.0103
547,-0.30,0.01,0.0101
548,-0.30,-0.02,0.0103
549,-0.23,-0.04,0.0103
550,-0.23,-0.03,0.0104
551,-0.27,-0.04,0.0103
552,-0.27,-0.05,0.0104
553,-0.21,-0.07,0.0103
554,-0.21,-0.09,0.0104
555,-0.11,-0.14,0.0103
556,-0.11,-0.00,0.0104
557,-0.80,0.25,0.0102
558,-0.80,0.38,0.0104
559,-0.84,0.47,0.0103
560,-0.84,0.50,0.0104
561,-0.60,0.43,0.0102
562,-0.60,0.02,0.0103
563,0.88,-0.54,0.0102
564,0.88,-0.99,0.0103
565,1.23,-1.26,0.0103
566,1.23,-1.49,0.0103
567,1.39,-1.69,0.0103
568,1.39,-1.38,0.0104
569,0.04,-0.98,0.0103
570,0.04,-0.58,0.0104
571,-0.47,-0.21,0.0103
572,-0.47,0.06,0.0104
573,-0.77,0.41,0.0103
574,-0.77,0.65,0.0103
575,-0.77,0.74,0.0102
576,-0.77,0.77,0.0103
